ApproverName,SubstituteName,SubstituteDepartment,SubstitutePosition
David,Sarah,Finance,Supervisor
Bob,Michael,Operations,Supervisor
Bob,Emily,Finance,Manager
Alice,Sarah,Finance,Supervisor
Bob,Jane,HR,Director
Alice,Jane,HR,Director
Alice,Jane,HR,Director
Charlie,Emily,Finance,Manager
Bob,Emily,Finance,Manager
Bob,Emily,Finance,Manager
David,John,IT,Manager
David,John,IT,Manager
Eve,Sarah,Finance,Supervisor
Alice,Jane,HR,Director
David,Sarah,Finance,Supervisor
Alice,Sarah,Finance,Supervisor
Bob,John,IT,Manager
Eve,Michael,Operations,Supervisor
Alice,Jane,HR,Director
Eve,John,IT,Manager
Eve,John,IT,Manager
Eve,John,IT,Manager
Charlie,Emily,Finance,Manager
Charlie,Sarah,Finance,Supervisor
David,John,IT,Manager
Alice,Michael,Operations,Supervisor
Eve,Michael,Operations,Supervisor
David,John,IT,Manager
David,John,IT,Manager
David,Michael,Operations,Supervisor
Bob,Jane,HR,Director
David,Emily,Finance,Manager
Alice,John,IT,Manager
David,John,IT,Manager
Charlie,John,IT,Manager
Bob,Jane,HR,Director
Alice,Michael,Operations,Supervisor
David,Emily,Finance,Manager
David,Emily,Finance,Manager
Alice,Jane,HR,Director
Alice,Sarah,Finance,Supervisor
Charlie,Sarah,Finance,Supervisor
Charlie,John,IT,Manager
Bob,Emily,Finance,Manager
David,Emily,Finance,Manager
David,Sarah,Finance,Supervisor
David,Jane,HR,Director
Charlie,Emily,Finance,Manager
David,Sarah,Finance,Supervisor
Charlie,Emily,Finance,Manager
Alice,Jane,HR,Director
Charlie,Sarah,Finance,Supervisor
Bob,Michael,Operations,Supervisor
Eve,Sarah,Finance,Supervisor
Alice,Michael,Operations,Supervisor
Charlie,Sarah,Finance,Supervisor
Alice,Emily,Finance,Manager
Eve,John,IT,Manager
David,John,IT,Manager
Bob,Jane,HR,Director
Alice,John,IT,Manager
Eve,Sarah,Finance,Supervisor
Alice,Jane,HR,Director
Alice,Michael,Operations,Supervisor
David,Jane,HR,Director
Alice,Emily,Finance,Manager
David,Sarah,Finance,Supervisor
Bob,Michael,Operations,Supervisor
Charlie,Michael,Operations,Supervisor
Eve,Michael,Operations,Supervisor
Eve,Emily,Finance,Manager
Charlie,Emily,Finance,Manager
Eve,Sarah,Finance,Supervisor
Alice,Emily,Finance,Manager
Alice,Sarah,Finance,Supervisor
Eve,Emily,Finance,Manager
Eve,John,IT,Manager
Alice,John,IT,Manager
Charlie,John,IT,Manager
David,Emily,Finance,Manager
David,Jane,HR,Director
Charlie,Emily,Finance,Manager
Alice,Emily,Finance,Manager
David,Michael,Operations,Supervisor
Alice,Michael,Operations,Supervisor
Eve,Michael,Operations,Supervisor
David,John,IT,Manager
Eve,Sarah,Finance,Supervisor
David,John,IT,Manager
Alice,Emily,Finance,Manager
Bob,Emily,Finance,Manager
Bob,Jane,HR,Director
Eve,Jane,HR,Director
Charlie,Sarah,Finance,Supervisor
Alice,Sarah,Finance,Supervisor
David,Emily,Finance,Manager
Alice,Sarah,Finance,Supervisor
Alice,John,IT,Manager
Eve,Michael,Operations,Supervisor
Eve,Michael,Operations,Supervisor
Alice,Jane,HR,Director
Eve,Sarah,Finance,Supervisor
Eve,Jane,HR,Director
Bob,Jane,HR,Director
Bob,Jane,HR,Director
Eve,Michael,Operations,Supervisor
Charlie,Emily,Finance,Manager
Alice,John,IT,Manager
Charlie,John,IT,Manager
Alice,John,IT,Manager
Eve,Michael,Operations,Supervisor
David,Sarah,Finance,Supervisor
Eve,Michael,Operations,Supervisor
Alice,Michael,Operations,Supervisor
Charlie,Emily,Finance,Manager
Eve,John,IT,Manager
Eve,Michael,Operations,Supervisor
Charlie,Sarah,Finance,Supervisor
Alice,Jane,HR,Director
Alice,Emily,Finance,Manager
Eve,John,IT,Manager
Alice,Emily,Finance,Manager
David,Sarah,Finance,Supervisor
Charlie,Jane,HR,Director
Eve,Emily,Finance,Manager
Bob,Sarah,Finance,Supervisor
Charlie,Michael,Operations,Supervisor
Charlie,Emily,Finance,Manager
Alice,Michael,Operations,Supervisor
Alice,John,IT,Manager
David,Michael,Operations,Supervisor
David,Michael,Operations,Supervisor
Charlie,Emily,Finance,Manager
David,Jane,HR,Director
Bob,Michael,Operations,Supervisor
Charlie,Michael,Operations,Supervisor
Eve,Sarah,Finance,Supervisor
Bob,Emily,Finance,Manager
Charlie,John,IT,Manager
Bob,Michael,Operations,Supervisor
Bob,Michael,Operations,Supervisor
Eve,Sarah,Finance,Supervisor
Alice,Emily,Finance,Manager
Eve,Sarah,Finance,Supervisor
Bob,Michael,Operations,Supervisor
David,Michael,Operations,Supervisor
Charlie,Sarah,Finance,Supervisor
David,Jane,HR,Director
Charlie,Emily,Finance,Manager
Eve,Emily,Finance,Manager
Alice,Sarah,Finance,Supervisor
Bob,Michael,Operations,Supervisor
Eve,Jane,HR,Director
Bob,Sarah,Finance,Supervisor
David,John,IT,Manager
David,John,IT,Manager
Eve,Jane,HR,Director
Alice,Sarah,Finance,Supervisor
Charlie,Emily,Finance,Manager
David,Michael,Operations,Supervisor
Bob,John,IT,Manager
David,Jane,HR,Director
David,John,IT,Manager
David,Emily,Finance,Manager
Eve,Sarah,Finance,Supervisor
Bob,John,IT,Manager
David,Jane,HR,Director
Eve,John,IT,Manager
Bob,John,IT,Manager
Eve,Jane,HR,Director
Charlie,Emily,Finance,Manager
David,Emily,Finance,Manager
Charlie,Emily,Finance,Manager
David,Jane,HR,Director
Alice,John,IT,Manager
Charlie,Emily,Finance,Manager
Charlie,Sarah,Finance,Supervisor
Alice,John,IT,Manager
Bob,Jane,HR,Director
Alice,John,IT,Manager
Bob,Sarah,Finance,Supervisor
David,Emily,Finance,Manager
Bob,Jane,HR,Director
Bob,Michael,Operations,Supervisor
David,Sarah,Finance,Supervisor
Bob,Emily,Finance,Manager
Alice,Emily,Finance,Manager
David,Sarah,Finance,Supervisor
Charlie,Sarah,Finance,Supervisor
Bob,Jane,HR,Director
Alice,Jane,HR,Director
Bob,Michael,Operations,Supervisor
Bob,Sarah,Finance,Supervisor
Eve,Jane,HR,Director
David,Emily,Finance,Manager
Bob,Michael,Operations,Supervisor
Eve,Jane,HR,Director
Charlie,Emily,Finance,Manager
Alice,Michael,Operations,Supervisor
Charlie,John,IT,Manager
Eve,Jane,HR,Director
David,Jane,HR,Director
Alice,Sarah,Finance,Supervisor
Alice,Jane,HR,Director
Charlie,John,IT,Manager
Charlie,Jane,HR,Director
Charlie,John,IT,Manager
David,Jane,HR,Director
Bob,John,IT,Manager
Bob,Michael,Operations,Supervisor
David,Jane,HR,Director
Charlie,Sarah,Finance,Supervisor
Eve,Michael,Operations,Supervisor
Alice,Sarah,Finance,Supervisor
Eve,Emily,Finance,Manager
Charlie,John,IT,Manager
Charlie,John,IT,Manager
Charlie,Michael,Operations,Supervisor
Charlie,Jane,HR,Director
Alice,Sarah,Finance,Supervisor
Charlie,Jane,HR,Director
Charlie,Emily,Finance,Manager
